통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202001,서울특별시,종로구,여성,조건부수급자,19~29세,43
202001,서울특별시,종로구,여성,조건부수급자,30~39세,17
202001,서울특별시,종로구,여성,조건부수급자,40~49세,31
202001,서울특별시,종로구,여성,조건부수급자,50~59세,35
202001,서울특별시,종로구,여성,조건부수급자,60~64세,19
202001,서울특별시,종로구,남성,일반수급자,19~29세,69
202001,서울특별시,종로구,여성,조건부수급자,65~69세,2
202001,서울특별시,종로구,여성,조건부수급자,80~89세,4
202001,서울특별시,종로구,남성,시설수급자,7세미만,3
202001,서울특별시,종로구,남성,시설수급자,7~12세,2
202001,서울특별시,종로구,남성,시설수급자,19~29세,11
202001,서울특별시,종로구,남성,시설수급자,30~39세,56
202001,서울특별시,종로구,남성,시설수급자,40~49세,86
202001,서울특별시,종로구,남성,시설수급자,50~59세,44
202001,서울특별시,종로구,남성,일반수급자,30~39세,55
202001,서울특별시,종로구,남성,시설수급자,60~64세,16
202001,서울특별시,종로구,남성,시설수급자,65~69세,16
202001,서울특별시,종로구,남성,시설수급자,70~74세,8
202001,서울특별시,종로구,남성,일반수급자,40~49세,152
202001,서울특별시,종로구,남성,시설수급자,75~79세,2
202001,서울특별시,종로구,여성,시설수급자,7세미만,30
202001,서울특별시,종로구,여성,시설수급자,7~12세,14
202001,서울특별시,종로구,여성,시설수급자,13~15세,5
202001,서울특별시,종로구,여성,시설수급자,16~18세,5
202001,서울특별시,종로구,여성,시설수급자,19~29세,16
202001,서울특별시,종로구,여성,시설수급자,30~39세,45
202001,서울특별시,종로구,여성,시설수급자,40~49세,67
202001,서울특별시,종로구,여성,시설수급자,50~59세,66
202001,서울특별시,종로구,여성,시설수급자,60~64세,36
202001,서울특별시,종로구,남성,일반수급자,50~59세,459
202001,서울특별시,종로구,여성,시설수급자,65~69세,23
202001,서울특별시,종로구,여성,시설수급자,70~74세,19
202001,서울특별시,종로구,여성,시설수급자,75~79세,16
202001,서울특별시,종로구,여성,시설수급자,80~89세,42
202001,서울특별시,종로구,여성,시설수급자,90세이상,27
202001,서울특별시,종로구,남성,특례수급자,7~12세,1
