지역(구),기준년월,연도,전기요금총액(원),연근로소득(원),월근로소득(원),전기요금지출비율,비율X10000,점수(1-10),점수(1-5)
중랑구,201703,2017,"3,716,223,908","1,481,742,000,000","123,478,500,000",0.0301,301,4,2
중랑구,201704,2017,"4,016,111,040","1,481,742,000,000","123,478,500,000",0.03252,325.2,4,2
중랑구,201705,2017,"3,558,493,975","1,481,742,000,000","123,478,500,000",0.02882,288.2,3,2
중랑구,201706,2017,"3,690,975,900","1,481,742,000,000","123,478,500,000",0.02989,298.9,3,2
중랑구,201707,2017,"4,885,947,696","1,481,742,000,000","123,478,500,000",0.03957,395.7,4,2
중랑구,201708,2017,"6,723,255,870","1,481,742,000,000","123,478,500,000",0.05445,544.5,6,3
중랑구,201709,2017,"4,334,240,042","1,481,742,000,000","123,478,500,000",0.0351,351,4,2
중랑구,201710,2017,"3,537,427,784","1,481,742,000,000","123,478,500,000",0.02865,286.5,3,2
중랑구,201711,2017,"3,887,481,375","1,481,742,000,000","123,478,500,000",0.03148,314.8,4,2
중랑구,201712,2017,"4,425,367,854","1,481,742,000,000","123,478,500,000",0.03584,358.4,4,2
중랑구,201801,2018,"5,010,312,540","1,592,274,000,000","132,689,500,000",0.03776,377.6,4,2
중랑구,201802,2018,"5,144,365,900","1,592,274,000,000","132,689,500,000",0.03877,387.7,4,2
중랑구,201803,2018,"3,853,814,724","1,592,274,000,000","132,689,500,000",0.02904,290.4,3,2
중랑구,201804,2018,"4,014,887,646","1,592,274,000,000","132,689,500,000",0.03026,302.6,4,2
중랑구,201805,2018,"3,585,879,492","1,592,274,000,000","132,689,500,000",0.02702,270.2,3,2
중랑구,201806,2018,"3,848,243,880","1,592,274,000,000","132,689,500,000",0.029,290,3,2
중랑구,201807,2018,"4,736,491,286","1,592,274,000,000","132,689,500,000",0.0357,357,4,2
중랑구,201808,2018,"8,357,762,919","1,592,274,000,000","132,689,500,000",0.06299,629.9,7,4
중랑구,201809,2018,"4,282,554,276","1,592,274,000,000","132,689,500,000",0.03228,322.8,4,2
중랑구,201810,2018,"3,550,656,740","1,592,274,000,000","132,689,500,000",0.02676,267.6,3,2
중랑구,201811,2018,"3,834,772,034","1,592,274,000,000","132,689,500,000",0.0289,289,3,2
중랑구,201812,2018,"4,232,775,435","1,592,274,000,000","132,689,500,000",0.0319,319,4,2
중랑구,201901,2019,"4,875,682,080","1,697,801,000,000","141,483,416,667",0.03446,344.6,4,2
중랑구,201902,2019,"4,611,930,939","1,697,801,000,000","141,483,416,667",0.0326,326,4,2
중랑구,201903,2019,"3,700,914,080","1,697,801,000,000","141,483,416,667",0.02616,261.6,3,2
중랑구,201904,2019,"3,957,726,321","1,697,801,000,000","141,483,416,667",0.02797,279.7,3,2
중랑구,201905,2019,"3,492,737,998","1,697,801,000,000","141,483,416,667",0.02469,246.9,3,2
중랑구,201906,2019,"3,624,185,376","1,697,801,000,000","141,483,416,667",0.02562,256.2,3,2
중랑구,201907,2019,"3,897,636,994","1,697,801,000,000","141,483,416,667",0.02755,275.5,3,2
중랑구,201908,2019,"5,916,520,060","1,697,801,000,000","141,483,416,667",0.04182,418.2,5,3
중랑구,201909,2019,"4,847,379,650","1,697,801,000,000","141,483,416,667",0.03426,342.6,4,2
중랑구,201910,2019,"3,618,929,520","1,697,801,000,000","141,483,416,667",0.02558,255.8,3,2
중랑구,201911,2019,"3,742,202,360","1,697,801,000,000","141,483,416,667",0.02645,264.5,3,2
중랑구,201912,2019,"4,163,663,280","1,697,801,000,000","141,483,416,667",0.02943,294.3,3,2
