년월,시군구,년월,월전기요금total(원),월근로소득(원),전기요금/근로소득(%),ratio_score,score,연도,월
201601,강남구,201601,10135147698.0,2660254916666.6665,0.0038098407917612157,38.09840791761216,1,2016,01
201602,강남구,201602,9609392111.0,2660254916666.6665,0.0036122072553260013,36.12207255326001,1,2016,02
201603,강남구,201603,8362895809.0,2660254916666.6665,0.003143644526923313,31.43644526923313,1,2016,03
201604,강남구,201604,8216143650.0,2660254916666.6665,0.0030884798289537354,30.884798289537354,1,2016,04
201605,강남구,201605,7757322259.999999,2660254916666.6665,0.00291600711322809,29.1600711322809,1,2016,05
201606,강남구,201606,9053666867.0,2660254916666.6665,0.003403308010175341,34.033080101753406,1,2016,06
201607,강남구,201607,12577338876.0,2660254916666.6665,0.00472786979819196,47.2786979819196,1,2016,07
201608,강남구,201608,21102816336.0,2660254916666.6665,0.007932629389683489,79.32629389683488,1,2016,08
201609,강남구,201609,7967337963.0,2660254916666.6665,0.0029949528194024265,29.949528194024264,1,2016,09
201610,강남구,201610,7589636987.999999,2660254916666.6665,0.002852973578002033,28.529735780020328,1,2016,10
201611,강남구,201611,8241173663.0,2660254916666.6665,0.0030978887065929365,30.978887065929364,1,2016,11
201612,강남구,201612,7804922801.999999,2660254916666.6665,0.002933900339062118,29.33900339062118,1,2016,12
201601,강동구,201601,6191915478.0,249869250000.0,0.02478062217739878,247.80622177398777,3,2016,01
201602,강동구,201602,6316187871.999999,249869250000.0,0.025277971867286586,252.77971867286587,3,2016,02
201603,강동구,201603,5053842200.0,249869250000.0,0.02022594697026545,202.25946970265448,3,2016,03
201604,강동구,201604,5020226304.0,249869250000.0,0.02009141302501208,200.91413025012082,3,2016,04
201605,강동구,201605,4479554170.0,249869250000.0,0.017927592811040175,179.27592811040176,2,2016,05
201606,강동구,201606,4887642080.0,249869250000.0,0.019560798617677046,195.60798617677045,2,2016,06
201607,강동구,201607,5786843710.0,249869250000.0,0.023159487251832707,231.59487251832707,3,2016,07
201608,강동구,201608,10088943592.0,249869250000.0,0.040376891482245214,403.76891482245213,5,2016,08
201609,강동구,201609,3841440925.0,249869250000.0,0.01537380419959639,153.7380419959639,2,2016,09
201610,강동구,201610,4127265596.9999995,249869250000.0,0.0165177011456992,165.17701145699198,2,2016,10
201611,강동구,201611,4849139111.0,249869250000.0,0.01940670615131714,194.06706151317138,2,2016,11
201612,강동구,201612,4847346952.0,249869250000.0,0.019399533764158657,193.99533764158656,2,2016,12
201601,강북구,201601,4508486414.999998,76435333333.33333,0.05898432332778032,589.8432332778032,6,2016,01
201602,강북구,201602,4717873995.999998,76435333333.33333,0.061723731555214406,617.2373155521441,7,2016,02
201603,강북구,201603,3762480530.0,76435333333.33333,0.04922436216235075,492.2436216235075,5,2016,03
201604,강북구,201604,3720138660.0,76435333333.33333,0.0486704053971549,486.704053971549,5,2016,04
201605,강북구,201605,3282912387.9999995,76435333333.33333,0.04295019390683191,429.50193906831913,5,2016,05
201606,강북구,201606,3468017307.9999995,76435333333.33333,0.04537191318151291,453.71913181512906,5,2016,06
201607,강북구,201607,3895618884.0,76435333333.33333,0.050966205210504746,509.66205210504745,6,2016,07
201608,강북구,201608,6912921931.999998,76435333333.33333,0.0904414441663105,904.414441663105,10,2016,08
201609,강북구,201609,2850830324.9999995,76435333333.33333,0.0372972838695891,372.972838695891,4,2016,09
201610,강북구,201610,2913441960.0,76435333333.33333,0.038116429051136914,381.16429051136913,4,2016,10
201611,강북구,201611,3565981566.0000005,76435333333.33333,0.04665357512668662,466.5357512668662,5,2016,11
201612,강북구,201612,3647040611.0,76435333333.33333,0.047714066936757,477.14066936756996,5,2016,12
201601,강서구,201601,7832951623.999999,570496666666.6666,0.013730056776259282,137.3005677625928,2,2016,01
201602,강서구,201602,8055625644.000002,570496666666.6666,0.014120372851725694,141.20372851725693,2,2016,02
201603,강서구,201603,6543374640.0,570496666666.6666,0.011469610643357542,114.69610643357542,2,2016,03
201604,강서구,201604,6615532928.000002,570496666666.6666,0.011596093920502024,115.96093920502024,2,2016,04
201605,강서구,201605,5904235779.000002,570496666666.6666,0.01034929058130635,103.49290581306352,2,2016,05
201606,강서구,201606,6267541435.999999,570496666666.6666,0.0109861140339704,109.861140339704,2,2016,06
201607,강서구,201607,7283762200.0,570496666666.6666,0.012767405360241662,127.67405360241662,2,2016,07
201608,강서구,201608,13848545700.0,570496666666.6666,0.024274542708400286,242.74542708400287,3,2016,08
201609,강서구,201609,5037573408.0,570496666666.6666,0.00883015397343835,88.3015397343835,1,2016,09
