연월,자치구명,65~69세,70~74세,75~79세,7세미만,80~89세,90세이상,합계,점수
201606,강북구,1024,1190,1016,393,929,134,4686,4
201606,강서구,1407,1475,1474,397,1527,269,6549,6
201606,관악구,887,954,893,331,829,133,4027,3
201606,광진구,442,479,410,169,449,60,2009,1
201606,구로구,570,660,675,314,602,83,2904,2
201606,금천구,650,766,638,273,640,83,3050,2
201606,노원구,1659,1841,1692,528,1700,314,7734,7
201606,도봉구,587,689,666,273,652,105,2972,2
201606,동대문구,957,1072,915,227,752,94,4017,3
201606,동작구,536,642,578,274,575,109,2714,2
201606,마포구,568,667,546,264,578,91,2714,2
201606,서대문구,489,550,541,545,526,69,2720,2
201606,서초구,288,332,257,190,299,53,1419,1
201606,성동구,502,560,532,155,467,66,2282,1
201606,성북구,879,969,904,388,826,130,4096,3
201606,송파구,593,603,489,231,510,92,2518,2
201606,양천구,642,719,682,285,647,93,3068,2
201606,영등포구,801,728,599,209,600,101,3038,2
201606,용산구,524,531,494,163,405,66,2183,1
201606,은평구,1256,1290,1093,477,1088,154,5358,5
201606,종로구,365,415,312,42,292,84,1510,1
201606,중구,380,369,345,91,336,41,1562,1
201606,중랑구,1039,1044,923,379,1014,191,4590,4
201607,강남구,895,881,699,405,664,127,3671,3
201607,강동구,667,641,602,299,589,109,2907,2
201607,강북구,1029,1185,1023,380,948,134,4699,4
201607,강서구,1388,1480,1492,388,1536,270,6554,6
201607,관악구,894,955,902,324,826,132,4033,3
201607,광진구,446,480,414,160,451,63,2014,1
201607,구로구,563,666,674,310,601,86,2900,2
201607,금천구,655,763,639,276,646,89,3068,2
201607,노원구,1657,1833,1709,542,1710,315,7766,7
201607,도봉구,586,689,669,262,664,102,2972,2
201607,동대문구,954,1067,912,217,757,98,4005,3
201607,동작구,534,649,584,267,578,107,2719,2
201607,마포구,570,662,548,263,580,88,2711,2
201607,서대문구,487,550,545,552,529,69,2732,2
201607,서초구,287,337,253,185,302,53,1417,1
201607,성동구,504,559,540,154,461,70,2288,1
201607,성북구,880,965,915,382,822,132,4096,3
201607,송파구,597,610,489,223,511,93,2523,2
201607,양천구,647,713,684,273,652,92,3061,2
201607,영등포구,801,718,605,204,594,98,3020,2
201607,용산구,518,529,497,160,408,68,2180,1
201607,은평구,1260,1296,1102,463,1097,159,5377,5
201607,종로구,358,418,316,40,296,81,1509,1
201607,중구,377,373,345,88,337,42,1562,1
201607,중랑구,1031,1050,931,371,1013,195,4591,4
201608,강남구,893,893,697,412,664,125,3684,3
201608,강동구,663,649,612,288,587,108,2907,2
201608,강북구,1023,1188,1024,372,951,138,4696,4
201608,강서구,1384,1476,1500,408,1551,268,6587,6
201608,관악구,897,956,913,322,835,131,4054,3
201608,광진구,442,483,417,162,447,64,2015,1
201608,구로구,567,663,679,294,597,87,2887,2
201608,금천구,659,767,645,268,646,88,3073,2
201608,노원구,1667,1833,1725,527,1709,312,7773,7
201608,도봉구,591,672,678,264,668,108,2981,2
201608,동대문구,946,1063,909,211,759,94,3982,3
201608,동작구,544,646,592,256,577,105,2720,2
201608,마포구,570,659,551,262,583,85,2710,2
201608,서대문구,492,547,549,527,529,70,2714,2
201608,서초구,290,337,255,182,302,53,1419,1
201608,성동구,503,557,550,150,460,67,2287,1
201608,성북구,864,975,914,372,826,128,4079,3
201608,송파구,601,600,488,220,516,93,2518,2
201608,양천구,648,712,690,270,660,93,3073,2
201608,영등포구,807,715,605,204,595,98,3024,2
201608,용산구,508,530,500,153,407,69,2167,1
201608,은평구,1256,1295,1115,441,1115,156,5378,5
201608,종로구,358,423,320,40,299,83,1523,1
201608,중구,381,379,343,83,340,40,1566,1
201608,중랑구,1041,1052,939,358,1016,191,4597,4
201609,강남구,891,905,696,400,667,129,3688,3
201609,강동구,655,645,615,286,589,110,2900,2
201609,강북구,1020,1189,1029,362,956,140,4696,4
201609,강서구,1376,1484,1504,398,1557,267,6586,6
201609,관악구,902,958,918,324,840,132,4074,3
201609,광진구,442,493,419,159,448,66,2027,1
201609,구로구,572,666,687,293,604,91,2913,2
201609,금천구,661,764,653,264,646,89,3077,2
201609,노원구,1671,1831,1737,523,1711,317,7790,7
201609,도봉구,591,675,685,262,661,111,2985,2
201609,동대문구,948,1066,902,203,771,92,3982,3
201609,동작구,549,659,594,257,585,103,2747,2
201609,마포구,563,658,544,261,587,84,2697,2
201609,서대문구,485,553,554,519,536,71,2718,2
201609,서초구,291,341,260,184,304,52,1432,1
201609,성동구,495,562,538,150,470,68,2283,1
201609,성북구,872,972,924,371,821,125,4085,3
201609,송파구,601,602,504,219,522,92,2540,2
201609,양천구,660,714,692,260,663,92,3081,2
201609,영등포구,808,710,616,203,595,93,3025,2
201609,용산구,518,526,505,154,408,71,2182,1
201609,은평구,1253,1299,1128,426,1113,159,5378,5
201609,종로구,361,425,317,39,300,81,1523,1
201609,중구,381,378,337,81,344,38,1559,1
201609,중랑구,1042,1054,946,353,1029,196,4620,4
201610,강남구,893,909,708,413,669,130,3722,3
201610,강동구,646,652,610,274,604,111,2897,2
201610,강북구,1020,1196,1036,356,966,142,4716,4
201610,강서구,1378,1480,1525,399,1552,275,6609,6
201610,관악구,914,959,918,321,855,138,4105,3
201610,광진구,451,487,417,153,449,68,2025,1
201610,구로구,561,680,675,278,612,88,2894,2
201610,금천구,662,778,658,259,650,92,3099,2
201610,노원구,1663,1832,1740,524,1719,312,7790,7
201610,도봉구,587,680,685,263,667,114,2996,2
201610,동대문구,948,1075,908,204,769,93,3997,3
201610,동작구,549,656,599,248,591,103,2746,2
201610,마포구,550,660,546,258,594,87,2695,2
201610,서대문구,476,560,561,522,537,72,2728,2
201610,서초구,286,338,266,186,300,53,1429,1
201610,성동구,489,555,550,143,468,69,2274,1
201610,성북구,862,965,934,365,826,126,4078,3
201610,송파구,606,605,507,204,522,93,2537,2
201610,양천구,655,716,695,252,663,89,3070,2
201610,영등포구,788,704,615,203,585,96,2991,2
201610,용산구,519,523,501,150,412,71,2176,1
201610,은평구,1261,1302,1127,420,1112,162,5384,5
201610,종로구,365,425,321,38,299,79,1527,1
201610,중구,390,375,343,95,344,40,1587,1
201610,중랑구,1038,1031,957,341,1035,198,4600,4
201611,강남구,902,913,709,380,674,129,3707,3
201611,강동구,638,643,604,269,600,107,2861,2
201611,강북구,1008,1200,1038,335,976,139,4696,4
201611,강서구,1390,1491,1534,389,1569,272,6645,6
201611,관악구,910,958,912,326,856,141,4103,3
201611,광진구,450,481,422,144,459,66,2022,1
201611,구로구,566,682,668,282,615,88,2901,2
201611,금천구,668,764,656,248,648,87,3071,2
201611,노원구,1654,1844,1742,526,1722,316,7804,7
201611,도봉구,578,666,688,258,673,110,2973,2
201611,동대문구,961,1067,914,206,772,94,4014,3
201611,동작구,555,661,603,246,591,101,2757,2
201611,마포구,544,649,541,256,591,86,2667,2
201611,서대문구,481,565,569,524,533,73,2745,2
201611,서초구,289,341,276,190,301,54,1451,1
201611,성동구,492,553,533,137,472,71,2258,1
201611,성북구,848,948,931,352,818,124,4021,3
201611,송파구,619,613,496,205,526,94,2553,2
201611,양천구,658,706,694,233,652,92,3035,2
201611,영등포구,787,693,606,202,584,96,2968,2
201611,용산구,512,519,495,148,412,70,2156,1
201611,은평구,1247,1280,1128,413,1112,159,5339,5
201611,종로구,370,419,327,43,298,81,1538,1
201611,중구,394,372,345,96,347,40,1594,1
201611,중랑구,1026,1034,957,325,1036,199,4577,4
201612,강남구,901,897,714,360,676,131,3679,3
201612,강동구,652,636,608,280,600,112,2888,2
201612,강북구,1001,1180,1034,334,971,137,4657,4
201612,강서구,1393,1509,1523,387,1589,272,6673,6
201612,관악구,914,943,918,312,857,146,4090,3
201612,광진구,451,480,409,136,449,67,1992,1
201612,구로구,562,667,663,277,612,86,2867,2
201612,금천구,666,756,658,241,653,85,3059,2
201612,노원구,1637,1825,1748,509,1732,317,7768,7
201612,도봉구,570,658,693,242,668,108,2939,2
201612,동대문구,956,1054,927,200,769,95,4001,3
201612,동작구,543,656,608,242,589,102,2740,2
201612,마포구,530,646,538,262,598,86,2660,2
201612,서대문구,479,550,564,533,537,74,2737,2
201612,서초구,284,338,269,190,304,50,1435,1
201612,성동구,499,543,532,136,461,70,2241,1
201612,성북구,845,937,926,343,820,125,3996,3
201612,송파구,622,608,495,192,531,99,2547,2
201612,양천구,646,695,690,224,659,96,3010,2
201612,영등포구,772,686,599,195,586,93,2931,2
201612,용산구,508,513,485,143,412,72,2133,1
201612,은평구,1230,1275,1148,402,1105,162,5322,5
201612,종로구,367,416,325,39,303,79,1529,1
201612,중구,388,367,345,94,343,40,1577,1
201612,중랑구,1016,1040,946,309,1042,192,4545,4
201701,강남구,899,885,718,363,682,134,3681,3
201701,강동구,648,624,617,273,607,115,2884,2
201701,강북구,993,1178,1056,331,984,138,4680,4
201701,강서구,1394,1500,1544,386,1607,277,6708,6
