연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201605,종로구,44,362,418,309,291,83,1507,1
201605,중구,89,387,365,343,336,38,1558,1
201605,중랑구,393,"1,044","1,038",908,"1,008",190,4581,4
201606,강남구,406,907,877,691,663,125,3669,3
201606,강동구,307,664,638,599,586,109,2903,2
201606,강북구,393,"1,024","1,190","1,016",929,134,4686,4
201606,강서구,397,"1,407","1,475","1,474","1,527",269,6549,6
201606,관악구,331,887,954,893,829,133,4027,3
201606,광진구,169,442,479,410,449,60,2009,1
201606,구로구,314,570,660,675,602,83,2904,2
201606,금천구,273,650,766,638,640,83,3050,2
201606,노원구,528,"1,659","1,841","1,692","1,700",314,7734,7
201606,도봉구,273,587,689,666,652,105,2972,2
201606,동대문구,227,957,"1,072",915,752,94,4017,3
201606,동작구,274,536,642,578,575,109,2714,2
201606,마포구,264,568,667,546,578,91,2714,2
201606,서대문구,545,489,550,541,526,69,2720,2
201606,서초구,190,288,332,257,299,53,1419,1
201606,성동구,155,502,560,532,467,66,2282,1
201606,성북구,388,879,969,904,826,130,4096,3
201606,송파구,231,593,603,489,510,92,2518,2
201606,양천구,285,642,719,682,647,93,3068,2
201606,영등포구,209,801,728,599,600,101,3038,2
201606,용산구,163,524,531,494,405,66,2183,1
201606,은평구,477,"1,256","1,290","1,093","1,088",154,5358,5
201606,종로구,42,365,415,312,292,84,1510,1
201606,중구,91,380,369,345,336,41,1562,1
201606,중랑구,379,"1,039","1,044",923,"1,014",191,4590,4
201607,강남구,405,895,881,699,664,127,3671,3
201607,강동구,299,667,641,602,589,109,2907,2
201607,강북구,380,"1,029","1,185","1,023",948,134,4699,4
201607,강서구,388,"1,388","1,480","1,492","1,536",270,6554,6
201607,관악구,324,894,955,902,826,132,4033,3
201607,광진구,160,446,480,414,451,63,2014,1
201607,구로구,310,563,666,674,601,86,2900,2
201607,금천구,276,655,763,639,646,89,3068,2
201607,노원구,542,"1,657","1,833","1,709","1,710",315,7766,7
201607,도봉구,262,586,689,669,664,102,2972,2
201607,동대문구,217,954,"1,067",912,757,98,4005,3
201607,동작구,267,534,649,584,578,107,2719,2
201607,마포구,263,570,662,548,580,88,2711,2
201607,서대문구,552,487,550,545,529,69,2732,2
201607,서초구,185,287,337,253,302,53,1417,1
201607,성동구,154,504,559,540,461,70,2288,1
201607,성북구,382,880,965,915,822,132,4096,3
201607,송파구,223,597,610,489,511,93,2523,2
201607,양천구,273,647,713,684,652,92,3061,2
201607,영등포구,204,801,718,605,594,98,3020,2
201607,용산구,160,518,529,497,408,68,2180,1
201607,은평구,463,"1,260","1,296","1,102","1,097",159,5377,5
201607,종로구,40,358,418,316,296,81,1509,1
201607,중구,88,377,373,345,337,42,1562,1
201607,중랑구,371,"1,031","1,050",931,"1,013",195,4591,4
201608,강남구,412,893,893,697,664,125,3684,3
201608,강동구,288,663,649,612,587,108,2907,2
201608,강북구,372,"1,023","1,188","1,024",951,138,4696,4
201608,강서구,408,"1,384","1,476","1,500","1,551",268,6587,6
201608,관악구,322,897,956,913,835,131,4054,3
201608,광진구,162,442,483,417,447,64,2015,1
201608,구로구,294,567,663,679,597,87,2887,2
201608,금천구,268,659,767,645,646,88,3073,2
201608,노원구,527,"1,667","1,833","1,725","1,709",312,7773,7
201608,도봉구,264,591,672,678,668,108,2981,2
201608,동대문구,211,946,"1,063",909,759,94,3982,3
201608,동작구,256,544,646,592,577,105,2720,2
201608,마포구,262,570,659,551,583,85,2710,2
201608,서대문구,527,492,547,549,529,70,2714,2
201608,서초구,182,290,337,255,302,53,1419,1
201608,성동구,150,503,557,550,460,67,2287,1
201608,성북구,372,864,975,914,826,128,4079,3
201608,송파구,220,601,600,488,516,93,2518,2
201608,양천구,270,648,712,690,660,93,3073,2
201608,영등포구,204,807,715,605,595,98,3024,2
201608,용산구,153,508,530,500,407,69,2167,1
201608,은평구,441,"1,256","1,295","1,115","1,115",156,5378,5
201608,종로구,40,358,423,320,299,83,1523,1
201608,중구,83,381,379,343,340,40,1566,1
201608,중랑구,358,"1,041","1,052",939,"1,016",191,4597,4
201609,강남구,400,891,905,696,667,129,3688,3
201609,강동구,286,655,645,615,589,110,2900,2
201609,강북구,362,"1,020","1,189","1,029",956,140,4696,4
201609,강서구,398,"1,376","1,484","1,504","1,557",267,6586,6
201609,관악구,324,902,958,918,840,132,4074,3
201609,광진구,159,442,493,419,448,66,2027,1
201609,구로구,293,572,666,687,604,91,2913,2
201609,금천구,264,661,764,653,646,89,3077,2
201609,노원구,523,"1,671","1,831","1,737","1,711",317,7790,7
201609,도봉구,262,591,675,685,661,111,2985,2
201609,동대문구,203,948,"1,066",902,771,92,3982,3
201609,동작구,257,549,659,594,585,103,2747,2
201609,마포구,261,563,658,544,587,84,2697,2
201609,서대문구,519,485,553,554,536,71,2718,2
201609,서초구,184,291,341,260,304,52,1432,1
201609,성동구,150,495,562,538,470,68,2283,1
201609,성북구,371,872,972,924,821,125,4085,3
201609,송파구,219,601,602,504,522,92,2540,2
